name,facility_type,operator_type,city,state_region,latitude,longitude,specialties,procedures,equipment,capabilities,status,beds
Ordos Central Hospital,hospital,public,Ordos,Inner Mongolia,39.6086,109.7815,"internalMedicine,surgery,oncology","general_surgery,chemotherapy","CT_Scanner,MRI","Level_3_Trauma",operational,900
Mudanjiang First People's Hospital,hospital,public,Mudanjiang,Heilongjiang,44.5833,129.5833,"internalMedicine,surgery,pediatrics","general_surgery,pediatric_care","CT_Scanner,MRI","Level_2_Trauma",operational,700
Jiamusi Central Hospital,hospital,public,Jiamusi,Heilongjiang,46.8000,130.3667,"internalMedicine,surgery,oncology","general_surgery,chemotherapy","CT_Scanner,MRI","Level_2_Trauma",operational,650
Daxinganling Regional Hospital,hospital,public,Jiagedaqi,Heilongjiang,50.4117,124.1261,"emergency,internalMedicine,surgery","emergency_care,general_surgery","CT_Scanner,Ultrasound","Level_2_Trauma",limited,300
Yanbian University Hospital,hospital,public,Yanji,Jilin,42.9075,129.5133,"internalMedicine,surgery,oncology,pediatrics","general_surgery,chemotherapy,pediatric_care","CT_Scanner,MRI,Linear_Accelerator","Level_3_Trauma",operational,900
Baishan Central Hospital,hospital,public,Baishan,Jilin,41.9389,126.4233,"internalMedicine,surgery","general_surgery,emergency_care","CT_Scanner,Ultrasound","Level_2_Trauma",limited,400
Mohe County Hospital,hospital,public,Mohe,Heilongjiang,53.4833,122.3667,"emergency,internalMedicine","emergency_care,basic_medicine","Ultrasound,X_Ray","Level_1_Trauma",critical,80
Heihe Central Hospital,hospital,public,Heihe,Heilongjiang,50.2458,127.5286,"internalMedicine,surgery,pediatrics","general_surgery,pediatric_care","CT_Scanner,Ultrasound","Level_2_Trauma",limited,450
Yichun First Hospital,hospital,public,Yichun,Heilongjiang,47.7272,128.8989,"internalMedicine,surgery","general_surgery,emergency_care","CT_Scanner,Ultrasound","Level_2_Trauma",limited,380
Rural Health Station Medog,clinic,public,Medog,Tibet,29.3250,95.3250,"generalPractice","basic_care","Basic_Equipment","Primary_Care",critical,5
Rural Health Station Zanda,clinic,public,Zanda,Tibet,31.4833,79.8000,"generalPractice","basic_care,altitude_sickness","Basic_Equipment,Oxygen","Primary_Care",critical,8
Kashgar Regional Hospital,hospital,public,Kashgar,Xinjiang,39.4556,75.9797,"internalMedicine,surgery,obstetrics,infectious_disease","general_surgery,c_section,TB_treatment","CT_Scanner,MRI,PCR_Lab","Level_3_Trauma,TB_Center",operational,1000
Hotan Regional Hospital,hospital,public,Hotan,Xinjiang,37.1147,79.9269,"internalMedicine,surgery,pediatrics","general_surgery,pediatric_care","CT_Scanner,Ultrasound","Level_2_Trauma",limited,500
Aksu Regional Hospital,hospital,public,Aksu,Xinjiang,41.1689,80.2653,"internalMedicine,surgery,oncology","general_surgery,chemotherapy","CT_Scanner,MRI","Level_3_Trauma",operational,700
Yining People's Hospital,hospital,public,Yining,Xinjiang,43.9167,81.3500,"internalMedicine,surgery,cardiology","general_surgery,cardiac_care","CT_Scanner,MRI,Cardiac_Cath_Lab","Level_3_Trauma",operational,600
Turpan Regional Hospital,hospital,public,Turpan,Xinjiang,42.9356,89.1900,"internalMedicine,surgery","general_surgery,emergency_care","CT_Scanner,Ultrasound","Level_2_Trauma",limited,350
Altay Regional Hospital,hospital,public,Altay,Xinjiang,47.8486,88.1314,"emergency,internalMedicine,surgery","emergency_care,general_surgery","CT_Scanner,Ultrasound","Level_2_Trauma",limited,280
Tacheng Regional Hospital,hospital,public,Tacheng,Xinjiang,46.7450,82.9869,"internalMedicine,surgery,pediatrics","general_surgery,pediatric_care","CT_Scanner,Ultrasound","Level_2_Trauma",limited,320
Kizilsu Kyrgyz Prefecture Hospital,hospital,public,Artux,Xinjiang,39.7142,76.1675,"internalMedicine,surgery","general_surgery,emergency_care","Ultrasound,X_Ray","Level_2_Trauma",limited,200
